Year,Title,Authors,Institution Name,Institution Country,Citation Count,Topic
1995,Conditional Quantum Dynamics and Logic Gates,"Adriano Barenco, David Deutsch, Artur Ekert, Richard Jozsa","University of Oxford, University of Plymouth",GB,957,Quantum Technology
2003,Towards Quantum Superpositions of a Mirror,"William K. Marshall, Christoph Simon, Roger Penrose, Dik Bouwmeester","Pennsylvania State University, University of Oxford, University of California, Santa Barbara","GB, US",930,Quantum Technology
2009,Observation of strong coupling between a micromechanical resonator and an optical cavity field,"Simon Gröblacher, Klemens Hammerer, Michael R. Vanner, Markus Aspelmeyer","Austrian Academy of Sciences, University of Vienna, Universität Innsbruck, Institute for Quantum Optics and Quantum Information Innsbruck",AT,917,Quantum Technology
2012,Bridging quantum and classical plasmonics with a quantum-corrected model,"Rubén Esteban, A. G. Borisov, Peter Nordlander, Javier Aizpurua","Institut des Sciences Moléculaires d'Orsay, Donostia International Physics Center, Centre National de la Recherche Scientifique, Rice University, Université Paris-Sud","US, ES, FR",912,Quantum Technology
2009,Measurement-based quantum computation,"Hans J. Briegel, Dan E. Browne, Wolfgang Dür, Robert Raussendorf, M. Van den Nest","Max Planck Institute of Quantum Optics, Austrian Academy of Sciences, University College London, Universität Innsbruck, University of British Columbia","AT, DE, CA, GB",904,Quantum Technology
2006,Vacuum Rabi splitting in semiconductors,"G. Khitrova, H. M. Gibbs, M. Kira, S. W. Koch, A. Scherer","University of Arizona, Philipps University of Marburg, California Institute of Technology","US, DE",898,Quantum Technology
1969,<i>Fundamentals of Quantum Optics</i>,"John R. Klauder, E. C. G. Sudarshan, Marvin M. Miller",Purdue University West Lafayette,US,897,Quantum Technology
2006,A semiconductor source of triggered entangled photon pairs,"R. M. Stevenson, Robert J. Young, P. Atkinson, Ken B. Cooper, D. A. Ritchie, A. J. Shields","University of Cambridge, Toshiba (United Kingdom), Toshiba (Japan)","GB, JP",880,Quantum Technology
2012,Photonic quantum simulators,"Alán Aspuru‐Guzik, Philip Walther","Harvard University, University of Vienna","AT, US",843,Quantum Technology
2007,Semiconductor quantum light sources,A. J. Shields,Toshiba (United Kingdom),GB,843,Quantum Technology
2008,Experimental Quantum Computing without Entanglement,"B. P. Lanyon, Marco Barbieri, M. P. Almeida, A. G. White",University of Queensland,AU,841,Quantum Technology
2003,Quantum technology: the second quantum revolution,"Jonathan P. Dowling, G. J. Milburn","University of Cambridge, Jet Propulsion Laboratory, University of Queensland, Centre for Quantum Computation and Communication Technology","GB, US, AU",839,Quantum Technology
2004,Quantum State Estimation,"Christopher A. Fuchs, Ruediger Schack",Unknown Institution,Unknown Country,836,Quantum Technology
2014,An addressable quantum dot qubit with fault-tolerant control-fidelity,"Menno Veldhorst, J. C. C. Hwang, Chih Hwan Yang, Anne Leenstra, Bob de Ronde, Juan Pablo Dehollain, Juha T. Muhonen, Fay E. Hudson, Kohei M. Itoh, Andrea Morello, Andrew S. Dzurak","University of Twente, Keio University, UNSW Sydney, Centre for Quantum Computation and Communication Technology","JP, NL, AU",834,Quantum Technology
2011,A gravitational wave observatory operating beyond the quantum shot-noise limit,"J. Abadie, B. P. Abbott, R. Abbott, T. D. Abbott, M. R. Abernathy, C. Adams, R. X. Adhikari, C. Affeldt, B. Allen, G. Allen, E. Amador Ceron, D. Amariutei, R. S. Amin, S. B. Anderson, W. G. Anderson, K. Arai, M. A. Arain, M. C. Araya, S. M. Aston, D. Atkinson, P. Aufmuth, C. Aulbert, B. E. Aylott, S. Babak, P. T. Baker, S. Ballmer, D. Barker, B. Barr, B. Barr, L. Barsotti, M. A. Barton, I. Bartos, R. Bassiri, M. Bastarrika, J. C. Batch, J. Bauchrowitz, B. Behnke, A. S. Bell, I. Belopolski, M. Benacquista, J. M. Berliner, A. Bertolini, J. Betzwieser, N. Beveridge, P. T. Beyersdorf, I. A. Bilenko, G. Billingsley, J. Birch, R. Biswas, E. Black, K. Blackburn, Lindy Blackburn, D. G. Blair, B. Bland, O. Bock, T. P. Bodiya, C. Bogan, Ruxandra Bondarescu, R. Bork, M. Born, S. Bose, P. R. Brady, V. B. Braginsky, J. E. Brau, J. Breyer, D. O. Bridges, M. Brinkmann, M. Britzger, A. F. Brooks, D. Brown, A. Brummitt, A. Buonanno, J. Burguet–Castell, O. Burmeister, R. L. Byer, L. Cadonati, J. B. Camp, P. Campsie, J. K. Cannizzo, K. C. Cannon, J. Cao, C. D. Capano, S. Caride, S. Caudill, M. Cavaglià, C. Cepeda, T. Chalermsongsak, E. Chalkley, P. Charlton, S. Chelkowski, Y Chen, N. Christensen, H. Cho, S. Chua, S. Chung, C. T. Y. Chung, G. Ciani, F. Clara, D. Clark, J. A. Clark","California Institute of Technology, Louisiana State University, Massachusetts Institute of Technology, Washington State University, Ann Arbor Center for Independent Living, Max Planck Innovation, University of Wisconsin–Milwaukee, Montana State University, University of Mississippi, University of Melbourne, Pennsylvania State University, University of Massachusetts Amherst, University of Toronto, Cardiff University, Stanford University, Goddard Space Flight Center, Rutherford Appleton Laboratory, Syracuse University, Carleton College, Australian National University, Lomonosov Moscow State University, Pusan National University, University of Oregon, Max Planck Society, University of Glasgow, Tsinghua University, University of Michigan–Ann Arbor, University of Birmingham, University of Western Australia, Columbia University, Charles Sturt University, University of Florida, California State University, Fullerton, San Jose State University","US, RU, KR, CA, CN, GB, DE, AU",829,Quantum Technology
2005,Single-photon sources,"Brahim Lounis, Michel Orrit","Huygens Institute for History and Culture of the Netherlands, Université de Bordeaux","NL, FR",824,Quantum Technology
2011,General framework for estimating the ultimate precision limit in noisy quantum-enhanced metrology,"B. M. Escher, R. L. de Matos Filho, L. Davidovich",Universidade Federal do Rio de Janeiro,BR,814,Quantum Technology
2021,Quantum phases of matter on a 256-atom programmable quantum simulator,"Sepehr Ebadi, Tout T. Wang, Harry Levine, Alexander Keesling, Giulia Semeghini, Ahmed Omran, Dolev Bluvstein, Rhine Samajdar, Hannes Pichler, Wen Wei Ho, Soonwon Choi, Subir Sachdev, Markus Greiner, Vladan Vuletić, Mikhail D. Lukin","Harvard University, Universität Innsbruck, Massachusetts Institute of Technology, University of California, Berkeley","AT, US",807,Quantum Technology
2010,Atom-chip-based generation of entanglement for quantum metrology,"Max F. Riedel, Pascal Böhi, Yun Li, Theodor W. Hänsch, Alice Sinatra, Philipp Treutlein","Laboratoire Kastler Brossel, Ludwig-Maximilians-Universität München","DE, FR",804,Quantum Technology
1983,The quantum theory of light,R. Loudon,Unknown Institution,Unknown Country,800,Quantum Technology
1992,Quantum Measurement,"V. B. Braginsky, F. Y. Khalili, Kip S. Thorne",Unknown Institution,Unknown Country,800,Quantum Technology
2015,Measuring Quantum Coherence with Entanglement,"Alexander Streltsov, Uttam Singh, Himadri Shekhar Dhar, Manabendra Nath Bera, Gerardo Adesso","Institute of Photonic Sciences, Harish-Chandra Research Institute, Jawaharlal Nehru University, University of Nottingham","GB, ES, IN",799,Quantum Technology
2018,Quantum technologies with optically interfaced solid-state spins,"D. D. Awschalom, Ronald Hanson, Jörg Wrachtrup, Brian B. Zhou","University of Stuttgart, Center for Integrated Quantum Science and Technology, University of Chicago, Delft University of Technology, QuTech","US, DE, NL",794,Quantum Technology
2012,An elementary quantum network of single atoms in optical cavities,"Stephan Ritter, Christian Nölleke, Carolin Hahn, Andreas Reiserer, Andreas Neuzner, Manuel Uphoff, Martin Mücke, Eden Figueroa, J. Bochmann, Gerhard Rempe","Max Planck Institute of Quantum Optics, Max Planck Society",DE,791,Quantum Technology
2012,Electronic read-out of a single nuclear spin using a molecular spin transistor,"Romain Vincent, Svetlana Klyatskaya, Mario Ruben, Wolfgang Wernsdorfer, Franck Balestro","Institut Néel, Karlsruhe Institute of Technology, Institut de Physique et Chimie des Matériaux de Strasbourg","DE, FR",790,Quantum Technology
2009,Quantum Simulators,"I. M. Buluta, Franco Nori","University of Michigan–Ann Arbor, RIKEN Advanced Science Institute","US, JP",779,Quantum Technology
2018,Machine learning &amp; artificial intelligence in the quantum domain: a review of recent progress,"Vedran Dunjko, Hans J. Briegel","University of Konstanz, Universität Innsbruck, Max Planck Institute of Quantum Optics","AT, DE",771,Quantum Technology
2012,Quantum nonlinear optics with single photons enabled by strongly interacting atoms,"Thibault Peyronel, Ofer Firstenberg, Qiyu Liang, Sebastian Hofferberth, Alexey V. Gorshkov, Thomas Pohl, Mikhail D. Lukin, Vladan Vuletić","California Institute of Technology, Massachusetts Institute of Technology, Harvard University Press, Max Planck Institute for the Physics of Complex Systems, Max Planck Society","US, DE",767,Quantum Technology
2005,Matter-wave interferometry in a double well on an atom chip,"Thorsten Schumm, Sebastian Hofferberth, L. Mauritz Andersson, S. Wildermuth, S. Groth, I. Bar‐Joseph, Jörg Schmiedmayer, P. Krüger","Centre National de la Recherche Scientifique, Weizmann Institute of Science, Heidelberg University, Laboratoire Charles Fabry","IL, DE, FR",761,Quantum Technology
2014,Quantum metrology from a quantum information science perspective,"G. Tóth, Iagoba Apellaniz","Ikerbasque, Wigner Research Centre for Physics, Hungarian Academy of Sciences, University of the Basque Country","HU, ES",758,Quantum Technology
2007,Entanglement of single-atom quantum bits at a distance,"D. L. Moehring, Peter Maunz, S. Olmschenk, Kelly C. Younge, Dzmitry Matsukevich, Luming Duan, C. Monroe","University of Michigan–Ann Arbor, University of Maryland, College Park",US,754,Quantum Technology
2010,A diamond nanowire single-photon source,"Thomas M. Babinec, Birgit J. M. Hausmann, Mughees Khan, Yinan Zhang, J. R. Maze, Philip Hemmer, Marko Lončar","Harvard University, Technical University of Munich, Texas A&M University","US, DE",754,Quantum Technology
2005,Storage and retrieval of single photons transmitted between remote quantum memories,"T. Chanelière, Dzmitry Matsukevich, S. D. Jenkins, Shau-Yu Lan, Tom Kennedy, A. Kuzmich",Georgia Institute of Technology,US,753,Quantum Technology
2012,Quantum biology,"Neill Lambert, Yueh-Nan Chen, Yuan‐Chung Cheng, Che‐Ming Li, Guang-Yin Chen, Franco Nori","National Center for Theoretical Sciences, University of Michigan–Ann Arbor, RIKEN Advanced Science Institute, National Cheng Kung University, National Taiwan University","US, JP, TW",751,Quantum Technology
2012,Ultracold Atoms in Optical Lattices,"Maciej Lewenstein, Anna Sanpera, V. Ahufinger",Unknown Institution,Unknown Country,748,Quantum Technology
2010,Optical Interface Created by Laser-Cooled Atoms Trapped in the Evanescent Field Surrounding an Optical Nanofiber,"E. Vetsch, D. Reitz, G. Sagué, Rainer Schmidt, S. T. Dawkins, Arno Rauschenbeutel",Johannes Gutenberg University Mainz,DE,745,Quantum Technology
2017,Towards properties on demand in quantum materials,"D. N. Basov, Richard D. Averitt, David Hsieh","California Institute of Technology, Columbia University, University of California, San Diego",US,744,Quantum Technology
2012,A single-atom electron spin qubit in silicon,"J. Jarryd, Kuan Yen Tan, Juan Pablo Dehollain, Wee Han Lim, John J. L. Morton, D.N. Jamieson, Andrew S. Dzurak, Andrea Morello","Centre for Quantum Computation and Communication Technology, University of Melbourne, UNSW Sydney, University of Oxford, University College London, London Centre for Nanotechnology, Aalto University","GB, FI, AU",740,Quantum Technology
2012,On the reality of the quantum state,"Matthew F. Pusey, Jonathan Barrett, Terry Rudolph","Royal Holloway University of London, Imperial College London",GB,738,Quantum Technology
2011,Room temperature coherent control of defect spin qubits in silicon carbide,"William F. Koehl, Bob B. Buckley, F. Joseph Heremans, Greg Calusine, D. D. Awschalom","University of California, Santa Barbara",US,717,Quantum Technology
2016,An integrated diamond nanophotonics platform for quantum-optical networks,"Alp Sipahigil, Ruffin E. Evans, Denis D. Sukachev, Michael J. Burek, Johannes Borregaard, Mihir K. Bhaskar, C. T. Nguyen, Jose L Pacheco, Haig A. Atikian, Charles Meuwly, Ryan M. Camacho, Fedor Jelezko, Edward S. Bielejec, Hongkun Park, Marko Lončar, Mikhail D. Lukin","Universität Ulm, Sandia National Laboratories, Russian Quantum Center, P.N. Lebedev Physical Institute of the Russian Academy of Sciences, Harvard University","US, DE, RU",715,Quantum Technology
2008,Multipartite Entanglement Among Single Spins in Diamond,"Philipp Neumann, Norikazu Mizuochi, F. Rempp, Philip Hemmer, Hideyuki Watanabe, Satoshi Yamasaki, V. Jacques, T. Gaebel, Fedor Jelezko, Jörg Wrachtrup","University of Tsukuba, Texas A&M University, National Institute of Advanced Industrial Science and Technology, University of Stuttgart","US, JP, DE",714,Quantum Technology
2001,Entanglement purification for quantum communication,"Jian-Wei Pan, Christoph Simon, Časlav Brukner, Anton Zeilinger","University of Vienna, University of Oxford","AT, GB",714,Quantum Technology
2005,Driven quantum transport on the nanoscale,"Sigmund Kohler, J. Lehmann, Peter Hänggi",Augsburg University,US,711,Quantum Technology
2017,"Stimulated Raman adiabatic passage in physics, chemistry, and beyond","Nikolay V. Vitanov, Andon A. Rangelov, Bruce W. Shore, K. Bergmann","Sofia University ""St. Kliment Ohridski""",BG,711,Quantum Technology
2017,Quantum computational supremacy,"Aram W. Harrow, Ashley Montanaro","University of Bristol, Massachusetts Institute of Technology","GB, US",709,Quantum Technology
2010,Universal Dynamical Decoupling of a Single Solid-State Spin from a Spin Bath,"G. de Lange, Z. H. Wang, Diego Ristè, V. V. Dobrovitski, Ronald Hanson","Ames National Laboratory, Iowa State University, Delft University of Technology","US, NL",706,Quantum Technology
2010,Quantum computing with defects,"J. R. Weber, William F. Koehl, Joel B. Varley, Anderson Janotti, Bob B. Buckley, Chris G. Van de Walle, D. D. Awschalom","University of California, Santa Barbara",US,706,Quantum Technology
2015,Advances in quantum teleportation,"Stefano Pirandola, Jens Eisert, Christian Weedbrook, Akira Furusawa, Samuel L. Braunstein","University of Toronto, Centre for Quantum Technologies, The University of Tokyo, Freie Universität Berlin","DE, SG, CA, JP",702,Quantum Technology
2014,Quantum trajectories and open many-body quantum systems,Andrew J. Daley,"University of Strathclyde, University of Pittsburgh","GB, US",686,Quantum Technology
2015,Quantum technologies with hybrid systems,"Gershon Kurizki, Patrice Bertet, Yuimaru Kubo, Klaus Mølmer, David Petrosyan, Peter Rabl, Jörg Schmiedmayer","TU Wien, Astronomy and Space, Aarhus University, Foundation for Research and Technology Hellas, Service de Physique de l'État Condensé, Commissariat à l'Énergie Atomique et aux Énergies Alternatives, Weizmann Institute of Science","AT, DK, FR, IL, GR, AU",685,Quantum Technology
2008,Simplifying quantum logic using higher-dimensional Hilbert spaces,"B. P. Lanyon, Marco Barbieri, M. P. Almeida, Thomas Jennewein, Timothy C. Ralph, Kevin J. Resch, Geoff J. Pryde, Jeremy L. O’Brien, Alexei Gilchrist, A. G. White","University of Bristol, University of Queensland, Macquarie University, Griffith University, University of Waterloo, Quantum (Australia), Laboratoire Charles Fabry","FR, CA, GB, AU",681,Quantum Technology
2014,Quantum nonlinear optics — photon by photon,"Darrick E. Chang, Vladan Vuletić, Mikhail D. Lukin","Institute of Photonic Sciences, Harvard University, Massachusetts Institute of Technology","US, ES",678,Quantum Technology
2013,Quantum Spintronics: Engineering and Manipulating Atom-Like Spins in Semiconductors,"D. D. Awschalom, Lee C. Bassett, Andrew S. Dzurak, Evelyn L. Hu, J. R. Petta","Centre for Quantum Computation and Communication Technology, UNSW Sydney, University of California, Santa Barbara, Harvard University, Princeton University","US, AU",675,Quantum Technology
2012,The elusive Heisenberg limit in quantum-enhanced metrology,"Rafał Demkowicz-Dobrzański, Jan Kołodyński, Mădălin Guţǎ","University of Warsaw, University of Nottingham","GB, PL",675,Quantum Technology
2015,Training Schrödinger’s cat: quantum optimal control,"Steffen J. Glaser, Ugo Boscain, Tommaso Calarco, Christiane P. Koch, Walter Köckenberger, Ronnie Kosloff, Ilya Kuprov, Burkhard Luy, S. G. Schirmer, Thomas Schulte‐Herbrüggen, Dominique Sugny, Frank K. Wilhelm","Université de Bourgogne, University of Southampton, Technical University of Munich, Universität Ulm, Hebrew University of Jerusalem, École Polytechnique, Swansea University, Saarland University, Centre National de la Recherche Scientifique, University of Nottingham, Karlsruhe Institute of Technology, University of Kassel","GB, DE, IL, FR",673,Quantum Technology
2003,Generation of nonclassical photon pairs for scalable quantum communication with atomic ensembles,"A. Kuzmich, Warwick P. Bowen, A. D. Boozer, A. Boca, C. W. Chou, L.-M. Duan, H. J. Kimble",California Institute of Technology,US,663,Quantum Technology
2002,Cavity Quantum Electrodynamics: Coherence in Context,"Hideo Mabuchi, Andrew C. Doherty",California Institute of Technology,US,661,Quantum Technology
2013,Scaling the Ion Trap Quantum Processor,"C. Monroe, Jungin E. Kim","National Institute of Standards and Technology, University of Maryland, College Park, Applied Quantum Technologies (United States), Joint Quantum Institute, Duke University",US,661,Quantum Technology
2008,Quantum‐optical analogies using photonic structures,Stefano Longhi,Unknown Institution,Unknown Country,658,Quantum Technology
2009,Fluxonium: Single Cooper-Pair Circuit Free of Charge Offsets,"Vladimir Manucharyan, Jens Koch, L. I. Glazman, Michel Devoret",Yale University,US,654,Quantum Technology
2018,A programmable two-qubit quantum processor in silicon,"Thomas F. Watson, Stephan G. J. Philips, Erika Kawakami, Daniel R. Ward, Pasquale Scarlino, Menno Veldhorst, D. E. Savage, M. G. Lagally, Mark Friesen, S. N. Coppersmith, M. A. Eriksson, L. M. K. Vandersypen","QuTech, University of Wisconsin–Madison, Delft University of Technology","US, NL",647,Quantum Technology
2004,The cold atom Hubbard toolbox,"Dieter Jaksch, P. Zoller","Austrian Academy of Sciences, University of Oxford, Universität Innsbruck","GB, AT",644,Quantum Technology
2010,Experimental realization of sub-shot-noise quantum imaging,"G. Brida, Marco Genovese, Ivano Ruo Berchera",Istituto Nazionale di Ricerca Metrologica,IT,636,Quantum Technology
2004,Observation of entanglement between a single trapped atom and a single photon,"B. B. Blinov, D. L. Moehring, Luming Duan, C. Monroe",University of Michigan–Ann Arbor,US,635,Quantum Technology
1997,Complete Characterization of a Quantum Process: The Two-Bit Quantum Gate,"Juan F. Poyatos, J. I. Cirac, P. Zoller","Universität Innsbruck, University of Castilla-La Mancha","AT, ES",634,Quantum Technology
2002,"Experimental Two-Photon, Three-Dimensional Entanglement for Quantum Communication","Alipasha Vaziri, Gregor Weihs, Anton Zeilinger","University of Vienna, Stanford University","AT, US",634,Quantum Technology
2011,High-fidelity projective read-out of a solid-state spin quantum register,"Lucio Robledo, Lilian Childress, Hannes Bernien, Bas Hensen, Paul F. A. Alkemade, Ronald Hanson","Bates College, Delft University of Technology","US, NL",632,Quantum Technology
1998,Coherent Optical Control of the Quantum State of a Single Quantum Dot,"N. H. Bonadeo, J. Erland, D. Gammon, D. Park, D. S. Katzer, D. G. Steel",University of Michigan–Ann Arbor,US,632,Quantum Technology
2013,Integrated multimode interferometers with arbitrary designs for photonic boson sampling,"Andrea Crespi, Roberto Osellame, Roberta Ramponi, Daniel J. Brod, Ernesto F. Galvão, Nicolò Spagnolo, Chiara Vitelli, Enrico Maiorino, Paolo Mataloni, Fabio Sciarrino","Sapienza University of Rome, Universidade Federal Fluminense, Istituto di Fotonica e Nanotecnologie, National Research Council","BR, IT",628,Quantum Technology
2007,Generation of optical ‘Schrödinger cats’ from photon number states,"Alexei Ourjoumtsev, Hyunseok Jeong, Rosa Tualle-Brouri, Philippe Grangier","Centre National de la Recherche Scientifique, Université Paris-Sud, University of Queensland","AU, FR",628,Quantum Technology
2001,Two-Photon Diffraction and Quantum Lithography,"Milena D’Angelo, Maria V. Chekhova, Yanhua Shih","University of Maryland, Baltimore County",US,627,Quantum Technology
2012,A robust scanning diamond sensor for nanoscale imaging with single nitrogen-vacancy centres,"Patrick Maletinsky, Sungkun Hong, M. S. Grinolds, Birgit Hausmann, M. D. Lukin, Ronald L. Walsworth, Marco Loncar, Amir Yacoby","Harvard University, Center for Astrophysics Harvard & Smithsonian",US,625,Quantum Technology
2017,Microwave photonics with superconducting quantum circuits,"Xiu Gu, Anton Frisk Kockum, Adam Miranowicz, Yu-xi Liu, Franco Nori","Adam Mickiewicz University in Poznań, Institute of Microelectronics, University of Michigan–Ann Arbor, Tsinghua University, RIKEN Center for Emergent Matter Science","US, JP, CN, PL",619,Quantum Technology
2018,Material platforms for spin-based photonic quantum technologies,"Mete Atatüre, Dirk Englund, A. Nick Vamivakas, Sang‐Yun Lee, Jörg Wrachtrup","Massachusetts Institute of Technology, University of Stuttgart, University of Cambridge, Korea Institute of Science & Technology Information, University of Rochester","GB, US, DE, KR",619,Quantum Technology
2011,Quantum measurement and orientation tracking of fluorescent nanodiamonds inside living cells,"Liam P. McGuinness, Yan Yan, Alastair Stacey, David Simpson, Liam T. Hall, Dougal Maclaurin, Steven Prawer, Paul Mulvaney, Jörg Wrachtrup, Frank Caruso, R. E. Scholten, Lloyd C. L. Hollenberg","University of Melbourne, ARC Centre of Excellence for Coherent X-ray Science, Centre for Quantum Computation and Communication Technology, University of Stuttgart","DE, AU",612,Quantum Technology
2018,Quantum optimization using variational algorithms on near-term quantum devices,"Nikolaj Moll, Panagiotis Kl. Barkoutsos, Lev S. Bishop, Jerry M. Chow, Andrew W. Cross, Daniel J. Egger, Stefan Filipp, Andreas Fuhrer, Jay Gambetta, Marc Ganzhorn, Abhinav Kandala, Antonio Mezzacapo, Péter Müller, W. Rieß, G. Salis, John A. Smolin, Ivano Tavernelli, Kristan Temme",IBM Research - Zurich,CH,611,Quantum Technology
2013,Quantum error correction for beginners,"Simon J. Devitt, William J. Munro, Kae Nemoto","NTT Basic Research Laboratories, National Institute of Informatics",JP,602,Quantum Technology
2019,Quantum optical microcombs,"Michael Kues, Christian Reimer, Joseph M. Lukens, William J. Munro, Andrew M. Weiner, David Moss, Roberto Morandotti","University of Glasgow, Oak Ridge National Laboratory, Institut National de la Recherche Scientifique, Swinburne University of Technology, NTT Basic Research Laboratories, Quantum Science Center, Purdue University West Lafayette, Harvard University","US, CA, GB, JP, AU",595,Quantum Technology
2010,A highly efficient single-photon source based on a quantum dot in a photonic nanowire,"Julien Claudon, J. Bleuse, Nitin S. Malik, Maela Bazin, P. Jaffrennou, Niels Gregersen, Christophe Sauvan, Philippe Lalanne, Jean‐Michel Gérard","Institut Nanosciences et Cryogénie, Université Joseph Fourier, Centre National de la Recherche Scientifique, CEA Grenoble, Commissariat à l'Énergie Atomique et aux Énergies Alternatives, Université Paris-Sud, Technical University of Denmark, Laboratoire Charles Fabry","DK, FR",594,Quantum Technology
1998,Experimental realization of a quantum algorithm,"Isaac L. Chuang, L. M. K. Vandersypen, Xinlan Zhou, Debbie Leung, Seth Lloyd","IBM Research - Almaden, Stanford University, IIT@MIT",US,587,Quantum Technology
2020,Hybrid integrated quantum photonic circuits,"Ali W. Elshaari, Wolfram H. P. Pernice, Kartik Srinivasan, Oliver Benson, Val Zwiller","KTH Royal Institute of Technology, National Institute of Standards and Technology, Humboldt-Universität zu Berlin","US, DE, SE",583,Quantum Technology
2002,Quantum information processing with atoms and photons,C. Monroe,University of Michigan–Ann Arbor,US,573,Quantum Technology
2021,Probing topological spin liquids on a programmable quantum simulator,"Giulia Semeghini, Harry Levine, Alexander Keesling, Sepehr Ebadi, Tout T. Wang, Dolev Bluvstein, Ruben Verresen, Hannes Pichler, M. W. Kalinowski, Rhine Samajdar, Ahmed Omran, Subir Sachdev, Ashvin Vishwanath, Markus Greiner, Vladan Vuletić, Mikhail D. Lukin","Massachusetts Institute of Technology, Institute for Advanced Study, Austrian Academy of Sciences, Universität Innsbruck, Harvard University, QuEra Computing (United States)","AT, US",573,Quantum Technology
2010,Single-Shot Readout of a Single Nuclear Spin,"Philipp Neumann, Johannes Beck, Matthias Steiner, F. Rempp, Helmut Fedder, Philip Hemmer, Jörg Wrachtrup, Fedor Jelezko","Texas A&M University, University of Stuttgart","US, DE",570,Quantum Technology
2006,Free-Space distribution of entanglement and single photons over 144 km,"Rupert Ursin, F. Tiefenbacher, T. Schmitt-Manderbach, H. Weier, T. Scheidl, M. Lindenthal, B. Blauensteiner, Thomas Jennewein, J. Perdigués, Pavel Trojek, B. Oemer, M. Fuerst, M. Meyenburg, John Rarity, Zoran Sodnik, C. Barbieri, Harald Weinfurter, Anton Zeilinger",University of Vienna,AT,569,Quantum Technology
2015,Voltage-controlled quantum light from an atomically thin semiconductor,"Chitraleema Chakraborty, Laura Kinnischtzke, Kenneth M. Goodfellow, Ryan Beams, A. Nick Vamivakas","National Institute of Standards and Technology, Material Measurement Laboratory, University of Rochester",US,566,Quantum Technology
2010,"Control of quantum phenomena: past, present and future","Constantin Brif, Raj Chakrabarti, Herschel Rabitz","Proteogenomics Research Institute for Systems Medicine, Purdue University West Lafayette, Princeton University",US,566,Quantum Technology
2013,Nanomechanical coupling between microwave and optical photons,"J. Bochmann, A. Vainsencher, D. D. Awschalom, A. N. Cleland","University of California, Berkeley",US,563,Quantum Technology
2018,Characterizing quantum supremacy in near-term devices,"Sergio Boixo, Sergei V. Isakov, Vadim Smelyanskiy, Ryan Babbush, Nan Ding, Jiang Zhang, Michael J. Bremner, John M. Martinis, Hartmut Neven","Centre for Quantum Computation and Communication Technology, Google (United States), Google (Switzerland), University of Technology Sydney, Ames Research Center","US, CH, AU",563,Quantum Technology
2004,Optical Quantum Computation Using Cluster States,Michael A. Nielsen,University of Queensland,AU,562,Quantum Technology
2003,Coherence and Quantum Optics VIII,,Unknown Institution,Unknown Country,562,Quantum Technology
2005,Quantum cloning,"Valerio Scarani, S. Iblisdir, Nicolas Gisin, Antonio Acín",University of Geneva,CH,562,Quantum Technology
2010,Preparation and measurement of three-qubit entanglement in a superconducting circuit,"L. DiCarlo, Matthew D. Reed, Luyan Sun, Blake Johnson, Jerry M. Chow, Jay Gambetta, Luigi Frunzio, S. M. Girvin, M. H. Devoret, R. J. Schoelkopf","Yale University, University of Waterloo","US, CA",560,Quantum Technology
2012,Quantum Metrology in Non-Markovian Environments,"Alex W. Chin, Susana F. Huelga, Martin B. Plenio","University of Cambridge, Universität Ulm","GB, DE",559,Quantum Technology
2020,Quantum Algorithms for Quantum Chemistry and Quantum Materials Science,"Bela Bauer, Sergey Bravyi, Mário Motta, Garnet Kin‐Lic Chan","Microsoft (United States), California Institute of Technology, IBM (United States), University of California, Santa Barbara, IBM Research - Almaden",US,557,Quantum Technology
2018,High-dimensional one-way quantum processing implemented on d-level cluster states,"Christian Reimer, Stefania Sciara, Piotr Roztocki, Mehedi Islam, Luis Romero Cortés, Yanbing Zhang, Bennet Fischer, Sébastien Loranger, Raman Kashyap, Alfonso Carmelo Cino, Sai T. Chu, Brent E. Little, David Moss, Lucia Caspani, William J. Munro, José Azaña, Michael Kues, Roberto Morandotti","University of Palermo, University of Glasgow, Institut National de la Recherche Scientifique, Swinburne University of Technology, NTT Basic Research Laboratories, Polytechnique Montréal, University of Electronic Science and Technology of China, Xi'an Institute of Optics and Precision Mechanics, University of Strathclyde, City University of Hong Kong","IT, CA, CN, GB, HK, JP, AU",550,Quantum Technology
2019,Ultrastrong coupling between light and matter,"Anton Frisk Kockum, Adam Miranowicz, Simone De Liberato, Salvatore Savasta, Franco Nori","University of Southampton, RIKEN","GB, JP",550,Quantum Technology
2005,Measurement-induced entanglement for excitation stored in remote atomic ensembles,"C. W. Chou, Hugues de Riedmatten, D. Felinto, Sergey V. Polyakov, S. J. van Enk, H. J. Kimble",California Institute of Technology,US,548,Quantum Technology
2013,Nobel Lecture: Controlling photons in a box and exploring the quantum to classical boundary,S. Haroche,"Collège de France, Laboratoire Kastler Brossel",FR,547,Quantum Technology
