Year,Title,Authors,Institution Name,Institution Country,Citation Count,Topic
1991,Situated Learning,"Jean Lave, Étienne Wenger",Unknown Institution,Unknown Country,28225,Artificial Intelligence
1999,Statistical Learning Theory,"Yuhai Wu, Vladimir Vapnik",Purdue University West Lafayette,US,27757,Artificial Intelligence
1979,Sample Selection Bias as a Specification Error,James J. Heckman,Unknown Institution,Unknown Country,27711,Artificial Intelligence
2003,Latent dirichlet allocation,"David M. Blei, Andrew Y. Ng, Michael I. Jordan","Stanford University, University of California, Berkeley",US,27707,Artificial Intelligence
2014,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,"Ross Girshick, Jeff Donahue, Trevor Darrell, Jitendra Malik",Berkeley College,US,27686,Artificial Intelligence
1986,A Computational Approach to Edge Detection,John Canny,Massachusetts Institute of Technology,US,27185,Artificial Intelligence
2005,Reinforcement Learning: An Introduction,"Richard S. Sutton, Andy Barto",Unknown Institution,Unknown Country,26908,Artificial Intelligence
2016,Rethinking the Inception Architecture for Computer Vision,"Christian Szegedy, Vincent Vanhoucke, Sergey Ioffe, Jon Shlens, Zbigniew Wojna","Google (United States), University College London","GB, US",26808,Artificial Intelligence
1986,Learning representations by back-propagating errors,"David E. Rumelhart, Geoffrey E. Hinton, Ronald J. Williams","Carnegie Mellon University, University of California, San Diego",US,26144,Artificial Intelligence
2011,The ERA‐Interim reanalysis: configuration and performance of the data assimilation system,"Dick Dee, S. Uppala, A. J. Simmons, Paul Berrisford, Paul Poli, S Kobayashi, Ulf Andrae, Magdalena Balmaseda, Gianpaolo Balsamo, Péter Bauer, Peter Bechtold, Anton Beljaars, Leo van de Berg, Jean‐Raymond Bidlot, Niels Bormann, C. Delsol, Rossana Dragani, Manuel Fuentes, Alan J. Geer, L. Haimberger, S. B. Healy, Hans Hersbach, Elías Hólm, Lars Isaksen, P. Kållberg, Martin Köhler, Marco Matricardi, A. P. McNally, Beatriz M. Monge-Sanz, J.‐J. Morcrette, Byoung-Kwon Park, Carole Peubey, Patricia de Rosnay, Christina Tavolato, Jean‐Noël Thépaut, Frédéric Vitart","European Organisation for the Exploitation of Meteorological Satellites, European Centre for Medium-Range Weather Forecasts, University of Leeds, Korea Meteorological Administration, University of Vienna, Swedish Meteorological and Hydrological Institute, Japan Meteorological Agency","AT, KR, GB, JP, DE, SE",25343,Artificial Intelligence
2011,Data Mining: Practical Machine Learning Tools and Techniques,"Ian H. Witten, Eibe Frank, Mark A. Hall",Unknown Institution,Unknown Country,25264,Artificial Intelligence
2015,Human-level control through deep reinforcement learning,"Volodymyr Mnih, Koray Kavukcuoglu, David Silver, Andrei A. Rusu, Joel Veness, Marc G. Bellemare, Alex Graves, Martin Riedmiller, Andreas Fidjeland, Georg Ostrovski, Stig Petersen, Charles Beattie, Amir Sadik, Ioannis Antonoglou, Helen King, Dharshan Kumaran, Daan Wierstra, Shane Legg, Demis Hassabis",Google (United States),US,25154,Artificial Intelligence
2007,UCI Machine Learning Repository,Arthur Asuncion,Unknown Institution,Unknown Country,24903,Artificial Intelligence
1974,Judgment under Uncertainty: Heuristics and Biases,"Amos Tversky, Daniel Kahneman",Hebrew University of Jerusalem,IL,24897,Artificial Intelligence
1988,Partial Differential Equations,Shiing-Shen Chern,Unknown Institution,Unknown Country,24477,Artificial Intelligence
2001,The Elements of Statistical Learning,"Trevor Hastie, J. Friedman, Robert Tibshirani","Sequoia (United States), Stanford University",US,24378,Artificial Intelligence
1997,Self-efficacy: the exercise of control,,Unknown Institution,Unknown Country,24267,Artificial Intelligence
2002,SMOTE: Synthetic Minority Over-sampling Technique,"Nitesh V. Chawla, Kevin W. Bowyer, Lawrence Hall, W. Philip Kegelmeyer","University of Notre Dame, University of South Florida, Sandia National Laboratories California",US,24231,Artificial Intelligence
1992,C4.5: Programs for Machine Learning,J. R. Quinlan,University of Sydney,AU,24102,Artificial Intelligence
2009,Learning Multiple Layers of Features from Tiny Images,Alex Krizhevsky,University of Toronto,CA,24072,Artificial Intelligence
1984,Classification and Regression Trees.,"Alexander Gordon, Leo Breiman, Jerome H. Friedman, Richard A. Olshen, C. J. Stone",Unknown Institution,Unknown Country,23838,Artificial Intelligence
1975,Judgment under Uncertainty: Heuristics and Biases,"Amos Tversky, Daniel Kahneman",Hebrew University of Jerusalem,IL,23834,Artificial Intelligence
1998,Reinforcement Learning: An Introduction,"Richard S. Sutton, Andy Barto",Unknown Institution,Unknown Country,23823,Artificial Intelligence
2010,BEDTools: a flexible suite of utilities for comparing genomic features,"Aaron R. Quinlan, Ira M. Hall",University of Virginia,US,23677,Artificial Intelligence
1984,A resource‐based view of the firm,Birger Wernerfelt,University of Michigan–Ann Arbor,US,23671,Artificial Intelligence
2017,Mask R-CNN,"Kaiming He, Georgia Gkioxari, Piotr Dollár, Ross Girshick",Meta (Israel),IL,23584,Artificial Intelligence
1981,Random sample consensus,"Martin A. Fischler, Robert C. Bolles","SRI International, Menlo School",US,23351,Artificial Intelligence
2017,GAN（Generative Adversarial Nets）,"Ian Goodfellow, Jean Pouget-Abadie, Mehdi Mirza, Bing Xu, David Warde-Farley, Sherjil Ozair, Aaron Courville, Yoshua Bengio","Indian Institute of Technology Delhi, Université de Montréal","IN, CA",23338,Artificial Intelligence
2015,Fast R-CNN,Ross Girshick,Microsoft (United States),US,23290,Artificial Intelligence
2012,MrBayes 3.2: Efficient Bayesian Phylogenetic Inference and Model Choice Across a Large Model Space,"Fredrik Ronquist, Maxim Teslenko, Paul van der Mark, Daniel L. Ayres, Aaron E. Darling, Sebastian Höhna, Bret Larget, Liang Liu, Marc A. Suchard, John P. Huelsenbeck","Stockholm University, University of Wisconsin–Madison, University of Maryland, College Park, Swedish Museum of Natural History, Delaware State University, University of California, Davis, University of California, Los Angeles, Florida State University, University of California, Berkeley","US, SE",23176,Artificial Intelligence
2016,ggplot2,Hadley Wickham,Unknown Institution,Unknown Country,23026,Artificial Intelligence
2017,Feature Pyramid Networks for Object Detection,"Tsung-Yi Lin, Piotr Dollár, Ross Girshick, Kaiming He, Bharath Hariharan, Serge Belongie","Meta (Israel), Cornell University","IL, US",22855,Artificial Intelligence
2007,Pattern Recognition and Machine Learning,Christopher Bishop,Microsoft Research (United Kingdom),GB,22829,Artificial Intelligence
2001,Greedy function approximation: A gradient boosting machine.,Jerome H. Friedman,Stanford University,US,22649,Artificial Intelligence
1990,Qualitative evaluation and research methods,Michael Quinn Patton,Unknown Institution,Unknown Country,22629,Artificial Intelligence
1982,Introduction to Quantitative Genetics.,"A. W. F. Edwards, D. S. Falconer",Unknown Institution,Unknown Country,22497,Artificial Intelligence
1994,Design Patterns: Elements of Reusable Object-Oriented Software,"Erich Gamma, Richard F. Helm, Ralph E. Johnson, John Vlissides","Group for Research in Decision Analysis, IBM (United States), University of Illinois Urbana-Champaign","US, CA",22395,Artificial Intelligence
